Uma ilha. Três pessoas. O começo de um reino.\n\nAlimente, construa e cuide de quem faz a vila viver.	One island. Three people. The beginning of a kingdom.\n\nFeed, build and care for the people who bring your village to life.
V0.0.5  ·  HORTAS E UMA VILA EM CRESCIMENTO\nSalve pela Vila · Salvamento automático a cada 2 minutos.	V0.0.5  ·  GARDENS AND A GROWING VILLAGE\nSave from Village · Autosave every 2 minutes.
Fundar uma civilização	Found a civilization
Continuar civilização	Continue civilization
Sair	Quit
Jogo pausado	Game paused
Salvar jogo	Save game
Fechar jogo	Quit game
Há água sob a construção. Aterre toda a área de %d × %d células.	There is water under the building. Fill the entire %d × %d cell area.
Este terreno está ocupado por um prédio, recurso ou obra.	This land is occupied by a building, resource or construction.
Área: %d × %d células + entrada livre na frente.\n	Area: %d × %d cells + a clear entrance in front.\n
Ampliar costa\nPincel ajustável	Expand coast\nAdjustable brush
Ctrl + roda ajusta o pincel; o custo depende apenas da água preenchida.	Ctrl + wheel adjusts the brush; cost depends only on water filled.
Ctrl + roda ajusta o pincel; Shift repete; Esc cancela. Só a água será aterrada.	Ctrl + wheel adjusts the brush; Shift repeats; Esc cancels. Only water will be filled.
Não há água para preencher neste pincel.	There is no water to fill under this brush.
Já existe uma obra neste trecho de água.	There is already construction on this water area.
Cada trecho de água precisa de uma margem acessível pela vila.	Each water area needs a shore accessible from the village.
Aterrar terreno · Pincel %d × %d	Fill terrain · Brush %d × %d
Células: %d · Pedras: %d · Madeiras: %d · Trabalho: %.1fs\nCtrl + roda: tamanho · Shift: repetir · Esc: cancelar	Cells: %d · Stone: %d · Wood: %d · Work: %.1fs\nCtrl + wheel: size · Shift: repeat · Esc: cancel
Uma pequena comunidade. Um futuro império.	A small community. A future empire.
Um Rei e dois trabalhadores. Replante pomares, construa moradias e cuide da alimentação.	A King and two workers. Replant orchards, build homes and keep everyone fed.
Construa casas para receber colonos. Renove os pomares e distribua o trabalho. O Rei também participa da vida da vila.	Build homes for settlers. Renew orchards and assign work. The King also helps the village.
